date,time,tempTemperature,tempFeelsLike,tempDewpoint,tempHumidity,tempPressure,tempVisibility,windDir,tempWindSpeed,tempGustSpeed,tempPrecip,Events,Condition
2017-02-06,5:51 PM,42.1,38.4,28.9,60,30.07,10,South,5.8,0,0,None,Clear
2017-01-19,8:28 AM,42.1,38.4,36,79,30.07,10,WNW,5.8,0,0,None,Mostly Cloudy
2017-02-02,3:51 PM,42.1,38.4,14,32,30.05,10,Variable,5.8,21.9,0,None,Mostly Cloudy
2017-04-02,3:51 AM,42.1,38.4,30.9,65,30.05,10,WNW,5.8,0,0,None,Partly Cloudy
2017-01-20,9:51 AM,42.1,38.4,32,67,30.01,10,NE,5.8,0,0,None,Overcast
2017-03-28,7:04 AM,42.1,38.4,41,96,29.98,6,ENE,5.8,0,0,None,Overcast
2017-02-01,9:51 AM,42.1,38.4,25,51,29.94,10,West,5.8,0,0,None,Clear
2017-03-28,8:51 PM,42.1,38.4,41,96,29.93,6,Variable,5.8,0,0.11,Rain,Light Rain
2017-01-21,1:51 AM,42.1,38.4,39.9,92,29.92,5,WSW,5.8,16.1,0,None,Overcast
2017-03-10,3:51 AM,42.1,38.4,21.9,45,29.89,10,Variable,5.8,17.3,0,None,Overcast
2017-12-12,2:51 AM,42.1,38.4,30.9,65,29.83,10,SSE,5.8,0,0,None,Overcast
2017-01-27,2:51 PM,42.1,38.4,21,43,29.57,10,WNW,5.8,0,0,None,Overcast
2017-12-12,5:38 PM,42.1,38.4,33.1,70,29.46,10,Variable,5.8,19.6,0,None,Overcast
2017-01-11,5:51 AM,45,38.5,39.9,82,30.21,10,WSW,13.8,20.7,0,None,Overcast
2017-03-19,1:51 PM,45,38.5,23,42,30.16,10,NNE,13.8,19.6,0,None,Clear
2017-03-02,11:51 AM,45,38.5,16,31,29.75,10,West,13.8,31.1,0,None,Clear
2017-03-25,11:09 PM,44.1,38.6,37.9,79,30.41,10,ENE,10.4,0,0,None,Overcast
2017-03-19,12:51 PM,44.1,38.6,24.1,45,30.18,10,NE,10.4,23,0,None,Clear
2017-03-20,11:51 AM,44.1,38.6,12.9,28,30.1,10,North,10.4,17.3,0,None,Clear
2017-04-02,1:51 AM,44.1,38.6,33.1,65,30.05,10,NW,10.4,18.4,0,None,Overcast
2017-12-07,12:51 PM,44.1,38.6,19,37,29.96,10,West,10.4,19.6,0,None,Clear
2017-01-01,3:51 AM,44.1,38.6,25,47,29.93,10,WSW,10.4,18.4,0,None,Partly Cloudy
2017-04-07,10:51 AM,44.1,38.6,36,73,29.37,10,WSW,10.4,17.3,0,None,Overcast
2017-11-29,11:51 PM,43,38.8,25,49,30.32,10,ENE,6.9,0,0,None,Clear
2017-11-14,5:51 PM,43,38.8,34,71,30.3,10,ENE,6.9,0,0,None,Overcast
2017-11-15,9:51 AM,43,38.8,32,65,30.29,10,East,6.9,0,0,None,Clear
2017-01-11,3:03 AM,43,38.8,41,93,30.2,2.5,Variable,6.9,0,0.04,Rain,Rain
2017-01-11,1:51 AM,43,38.8,39,86,30.2,3,WSW,6.9,0,0.03,Rain,Rain
2017-11-07,6:51 AM,43,38.8,32,65,30.19,10,NE,6.9,0,0,None,Clear
2017-02-22,12:51 AM,43,38.8,33.1,68,30.09,10,Variable,6.9,0,0,None,Clear
2017-11-17,10:51 AM,43,38.8,23,45,30.07,10,Variable,6.9,21.9,0,None,Clear
2017-01-19,6:51 PM,43,38.8,32,65,30.04,10,Variable,6.9,0,0,None,Overcast
2017-11-22,5:51 PM,43,38.8,26.1,51,30,10,Variable,6.9,24.2,0,None,Mostly Cloudy
2017-03-28,5:29 AM,43,38.8,42.1,97,29.97,2.5,East,6.9,0,0.05,Rain,Rain
2017-03-28,5:04 AM,43,38.8,42.1,97,29.97,2.5,ENE,6.9,0,0.02,Rain,Light Rain
2017-03-28,4:51 AM,43,38.8,42.1,97,29.97,1.8,NE,6.9,0,0.02,Rain,Heavy Rain
2017-03-28,11:22 AM,43,38.8,42.1,97,29.97,2,Variable,6.9,0,0.03,Rain,Light Rain
2017-03-28,5:39 AM,43,38.8,42.1,97,29.96,4,East,6.9,0,0.05,Rain,Light Rain
2017-03-28,1:37 PM,43,38.8,42.1,97,29.96,4,ENE,6.9,0,0.03,Rain,Light Rain
2017-03-28,2:16 PM,43,38.8,42.1,97,29.96,2.5,NNE,6.9,0,0.03,Rain,Rain
2017-03-28,7:51 AM,43,38.8,42.1,97,29.96,5,Variable,6.9,0,0,None,Overcast
2017-12-23,10:51 PM,43,38.8,36,76,29.92,10,WNW,6.9,0,0,None,Partly Cloudy
2017-03-28,11:51 AM,43,38.8,42.1,97,29.91,3,Variable,6.9,0,0.04,Rain,Light Rain
2017-01-21,11:51 AM,43,38.8,41,93,29.87,6,WNW,6.9,0,0,None,Overcast
2017-04-06,5:51 AM,43,38.8,39,86,29.86,10,Variable,6.9,18.4,0,None,Overcast
2017-12-12,3:51 AM,43,38.8,33.1,68,29.79,10,South,6.9,0,0,None,Mostly Cloudy
2017-04-07,8:51 PM,43,38.8,27,53,29.59,10,WNW,6.9,28.8,0,None,Overcast
2017-01-03,7:31 PM,43,38.8,43,100,29.55,3,ENE,6.9,0,0,None,Overcast
2017-04-01,2:51 PM,45,38.9,33.1,63,29.85,10,North,12.7,18.4,0,None,Overcast
2017-03-02,10:51 AM,45,38.9,17.1,33,29.72,10,WNW,12.7,35.7,0,None,Clear
2017-02-25,11:14 PM,45,38.9,36,71,29.65,10,NW,12.7,21.9,0,None,Scattered Clouds
2017-01-04,5:51 PM,45,38.9,23,42,29.55,10,West,12.7,28.8,0,None,Clear
2017-04-07,6:51 PM,45,38.9,28.9,53,29.51,10,WNW,12.7,28.8,0,None,Overcast
2017-12-04,7:51 AM,41,39,37.9,89,30.41,5,Variable,3.5,0,0,None,Clear
2017-01-16,1:51 PM,41,39,21,45,30.37,10,Variable,3.5,0,0,None,Clear
2017-12-04,4:51 AM,41,39,39,93,30.35,4,NNE,3.5,0,0,None,Clear
2017-01-16,7:51 PM,41,39,24.1,51,30.34,10,Variable,3.5,0,0,None,Mostly Cloudy
2017-11-13,9:51 PM,41,39,32,70,30.32,10,Variable,3.5,0,0,None,Clear
2017-11-14,9:51 PM,41,39,33.1,73,30.3,10,Variable,3.5,0,0,None,Mostly Cloudy
2017-11-07,6:51 PM,41,39,39,93,30.17,4,Variable,3.5,0,0.17,Rain,Rain
2017-03-19,9:51 PM,41,39,12.9,32,30.16,10,Variable,3.5,0,0,None,Clear
2017-12-18,10:51 AM,41,39,34,76,30.08,10,Variable,3.5,0,0,None,Overcast
2017-02-11,9:51 PM,41,39,28,60,30.06,10,ESE,3.5,0,0,None,Clear
2017-01-19,7:51 AM,41,39,36,82,30.04,10,Variable,3.5,0,0,None,Clear
2017-12-11,1:51 PM,41,39,19.9,43,29.98,10,Variable,3.5,0,0,None,Clear
2017-11-26,7:51 PM,41,39,23,49,29.98,10,West,3.5,0,0,None,Clear
2017-01-20,6:30 PM,41,39,37.9,89,29.95,7,Variable,3.5,0,0.02,Rain,Light Rain
2017-01-20,9:19 PM,41,39,39,93,29.95,7,Variable,3.5,0,0,None,Overcast
2017-01-20,10:17 PM,41,39,39.9,96,29.94,4,South,3.5,0,0,None,Overcast
2017-01-20,10:25 PM,41,39,39.9,96,29.94,4,South,3.5,0,0,None,Overcast
2017-01-20,11:48 PM,41,39,39.2,93,29.94,5,Variable,3.5,0,0,None,Overcast
2017-01-20,4:51 PM,41,39,37.9,89,29.92,4,South,3.5,0,0.04,Rain,Light Rain
2017-01-20,7:51 PM,41,39,39,93,29.92,9,Variable,3.5,0,0,None,Overcast
2017-03-02,3:51 PM,44.1,39,14,30,29.87,10,WNW,9.2,28.8,0,None,Clear
2017-12-20,6:51 AM,44.1,39,21,40,29.86,10,NW,9.2,20.7,0,None,Clear
2017-02-25,11:51 PM,44.1,39,34,68,29.66,10,WNW,9.2,17.3,0,None,Mostly Cloudy
2017-03-02,7:51 AM,46,39,21.9,39,29.61,10,West,17.3,42.6,0,None,Clear
2017-01-03,9:43 PM,41,39,41,100,29.52,2.5,Variable,3.5,0,0,None,Overcast
2017-01-03,11:35 PM,41,39,39.9,96,29.5,7,Variable,3.5,0,0.02,Rain,Light Rain
2017-01-03,10:51 PM,41,39,41,100,29.49,4,Variable,3.5,0,0.01,Rain,Light Rain
2017-01-03,11:51 PM,41,39,41,100,29.49,10,Variable,3.5,0,0.03,None,Overcast
2017-01-04,2:27 AM,41,39,39,93,29.47,10,WNW,3.5,0,0,None,Overcast
2017-01-04,12:51 AM,41,39,39.9,96,29.46,6,WNW,3.5,0,0,None,Overcast
2017-01-01,9:51 PM,42.1,39.2,18,38,30.43,10,NE,4.6,0,0,None,Clear
2017-03-06,10:51 PM,42.1,39.2,23,47,30.42,10,South,4.6,0,0,None,Overcast
2017-03-06,9:51 PM,42.1,39.2,21.9,45,30.42,10,SSE,4.6,0,0,None,Overcast
2017-03-07,12:51 AM,42.1,39.2,27,55,30.41,10,SSE,4.6,0,0,None,Overcast
2017-11-13,9:51 AM,42.1,39.2,37,82,30.35,5,Variable,4.6,0,0.01,Rain,Light Rain
2017-11-13,8:51 AM,42.1,39.2,37,82,30.34,6,Variable,4.6,0,0.02,None,Haze
2017-11-13,10:51 AM,42.1,39.2,39,89,30.33,5,ENE,4.6,0,0.01,Rain,Light Rain
2017-11-30,9:51 AM,42.1,39.2,27,55,30.31,10,Variable,4.6,0,0,None,Clear
2017-11-09,1:51 AM,42.1,39.2,35.1,76,30.24,10,NNE,4.6,0,0,None,Clear
2017-01-11,2:00 AM,42.1,39.2,39.9,92,30.22,2.5,SW,4.6,0,0.02,Rain,Rain
2017-11-09,2:51 AM,42.1,39.2,36,79,30.22,10,NE,4.6,0,0,None,Clear
2017-04-02,7:51 AM,42.1,39.2,30.9,65,30.14,10,Variable,4.6,0,0,None,Clear
2017-11-20,10:51 PM,42.1,39.2,24.1,49,30.13,10,Variable,4.6,0,0,None,Clear
2017-12-18,11:51 AM,42.1,39.2,34,73,30.04,9,WNW,4.6,0,0,None,Scattered Clouds
2017-02-01,8:51 PM,42.1,39.2,27,55,30.02,10,Variable,4.6,0,0,None,Overcast
2017-02-06,11:51 PM,42.1,39.2,34,73,30.01,8,NNE,4.6,0,0,None,Clear
