2017-1-2,9:51 PM,  39.0 °F,  31.8 °F,  37.9 °F,96%,  30.30 in,  5.0 mi,ENE,  11.5 mph,  21.9 mph,N/A,	 ,Overcast
2017-1-2,10:51 PM,  39.0 °F,  33.4 °F,  37.9 °F,96%,  30.30 in,  5.0 mi,ENE,  8.1 mph,  -,N/A,	 ,Overcast
2017-1-2,11:51 PM,  39.0 °F,  32.3 °F,  37.0 °F,93%,  30.26 in,  2.5 mi,ENE,  10.4 mph,  19.6 mph,  0.02 in,Rain,Light Rain
2017-1-3,12:04 AM,  39.0 °F,  31.0 °F,  37.9 °F,96%,  30.27 in,  3.0 mi,ENE,  13.8 mph,  18.4 mph,  0.01 in,Rain,Light Rain
2017-1-3,12:51 AM,  39.0 °F,  31.4 °F,  37.9 °F,96%,  30.22 in,  3.0 mi,ENE,  12.7 mph,  19.6 mph,  0.03 in,Rain,Light Rain
2017-1-3,1:01 AM,  39.0 °F,  30.6 °F,  37.9 °F,96%,  30.24 in,  2.5 mi,ENE,  15.0 mph,  20.7 mph,  0.01 in,Rain,Light Rain
2017-1-3,1:51 AM,  39.0 °F,  32.3 °F,  37.9 °F,96%,  30.22 in,  2.5 mi,ENE,  10.4 mph,  -,  0.04 in,Rain,Light Rain
2017-1-3,2:18 AM,  39.0 °F,  32.8 °F,  37.9 °F,96%,  30.22 in,  3.0 mi,ENE,  9.2 mph,  18.4 mph,  0.02 in,Rain,Light Rain
2017-1-3,2:51 AM,  39.0 °F,  31.4 °F,  37.9 °F,96%,  30.19 in,  4.0 mi,ENE,  12.7 mph,  18.4 mph,  0.02 in,	 ,Overcast
2017-1-3,3:51 AM,  39.0 °F,  33.4 °F,  37.9 °F,96%,  30.16 in,  6.0 mi,ENE,  8.1 mph,  17.3 mph,  0.01 in,	 ,Overcast
2017-1-3,4:51 AM,  39.0 °F,  32.8 °F,  37.9 °F,96%,  30.13 in,  4.0 mi,ENE,  9.2 mph,  20.7 mph,N/A,	 ,Overcast
2017-1-3,5:51 AM,  39.0 °F,  32.3 °F,  37.9 °F,96%,  30.11 in,  5.0 mi,East,  10.4 mph,  21.9 mph,N/A,	 ,Overcast
2017-1-3,6:51 AM,  39.0 °F,  31.4 °F,  37.9 °F,96%,  30.07 in,  10.0 mi,ENE,  12.7 mph,  23.0 mph,N/A,	 ,Overcast
2017-1-3,7:51 AM,  39.0 °F,  31.8 °F,  39.0 °F,100%,  30.04 in,  5.0 mi,East,  11.5 mph,  21.9 mph,N/A,	 ,Overcast
2017-1-3,8:18 AM,  39.9 °F,  32.5 °F,  39.0 °F,97%,  30.05 in,  4.0 mi,ENE,  12.7 mph,  25.3 mph,N/A,	 ,Overcast
2017-1-3,8:51 AM,  39.9 °F,  32.1 °F,  39.0 °F,97%,  30.01 in,  2.5 mi,ENE,  13.8 mph,  28.8 mph,N/A,	 ,Overcast
2017-1-3,9:51 AM,  39.9 °F,  31.8 °F,  39.0 °F,97%,  29.99 in,  2.0 mi,ENE,  15.0 mph,  23.0 mph,N/A,	 ,Overcast
2017-1-3,10:25 AM,  39.9 °F,  32.9 °F,  39.9 °F,100%,  29.99 in,  3.0 mi,ENE,  11.5 mph,  19.6 mph,  0.00 in,Rain,Light Rain
2017-1-3,10:51 AM,  39.9 °F,  31.1 °F,  39.9 °F,100%,  29.95 in,  3.0 mi,East,  17.3 mph,  28.8 mph,  0.01 in,Rain,Light Rain
2017-1-3,11:00 AM,  39.9 °F,  32.5 °F,  39.9 °F,100%,  29.95 in,  2.0 mi,ENE,  12.7 mph,  28.8 mph,  0.00 in,Rain,Light Rain
2017-1-3,11:18 AM,  39.9 °F,  31.8 °F,  39.9 °F,100%,  29.92 in,  3.0 mi,ENE,  15.0 mph,  24.2 mph,  0.02 in,Rain,Light Rain
2017-1-3,11:51 AM,  41.0 °F,  32.8 °F,  39.9 °F,96%,  29.86 in,  4.0 mi,ENE,  16.1 mph,  28.8 mph,  0.04 in,Rain,Light Rain
2017-1-3,12:41 PM,  41.0 °F,  32.8 °F,  41.0 °F,100%,  29.83 in,  2.0 mi,East,  16.1 mph,  27.6 mph,  0.05 in,Rain,Rain
2017-1-3,12:51 PM,  41.0 °F,  33.5 °F,  41.0 °F,100%,  29.80 in,  2.5 mi,ENE,  13.8 mph,  25.3 mph,  0.07 in,Rain,Rain
2017-1-3,1:06 PM,  41.0 °F,  33.9 °F,  41.0 °F,100%,  29.80 in,  3.0 mi,ENE,  12.7 mph,  25.3 mph,  0.02 in,Rain,Light Rain
2017-1-3,1:43 PM,  41.0 °F,  33.1 °F,  41.0 °F,100%,  29.76 in,  2.0 mi,ENE,  15.0 mph,  24.2 mph,  0.06 in,Rain,Rain
2017-1-3,1:51 PM,  41.0 °F,  32.5 °F,  41.0 °F,100%,  29.72 in,  2.0 mi,ENE,  17.3 mph,  27.6 mph,  0.08 in,Rain,Rain
2017-1-3,2:05 PM,  41.0 °F,  33.9 °F,  41.0 °F,100%,  29.73 in,  4.0 mi,ENE,  12.7 mph,  29.9 mph,  0.01 in,Rain,Light Rain
2017-1-3,2:37 PM,  42.1 °F,  34.2 °F,  41.0 °F,96%,  29.72 in,  2.0 mi,ENE,  16.1 mph,  26.5 mph,  0.03 in,Rain,Light Rain
2017-1-3,2:51 PM,  42.1 °F,  34.2 °F,  41.0 °F,96%,  29.69 in,  3.0 mi,ENE,  16.1 mph,  25.3 mph,  0.03 in,Rain,Light Rain
2017-1-3,3:11 PM,  42.1 °F,  33.9 °F,  41.0 °F,96%,  29.70 in,  2.0 mi,ENE,  17.3 mph,  25.3 mph,  0.01 in,Rain,Light Rain
2017-1-3,3:20 PM,  42.1 °F,  35.2 °F,  41.0 °F,96%,  29.69 in,  1.8 mi,East,  12.7 mph,  27.6 mph,  0.03 in,Rain,Light Rain
2017-1-3,3:39 PM,  42.1 °F,  34.5 °F,  42.1 °F,100%,  29.68 in,  2.5 mi,ENE,  15.0 mph,  23.0 mph,  0.05 in,Rain,Light Rain
2017-1-3,3:51 PM,  42.1 °F,  35.2 °F,  41.0 °F,96%,  29.65 in,  1.5 mi,ENE,  12.7 mph,  25.3 mph,  0.08 in,Rain,Rain
2017-1-3,4:33 PM,  42.1 °F,  34.9 °F,  42.1 °F,100%,  29.63 in,  2.5 mi,ENE,  13.8 mph,  28.8 mph,  0.11 in,Rain,Light Rain
2017-1-3,4:41 PM,  42.1 °F,  33.9 °F,  42.1 °F,100%,  29.62 in,  5.0 mi,ENE,  17.3 mph,  27.6 mph,  0.11 in,Rain,Light Rain
2017-1-3,4:51 PM,  43.0 °F,  36.4 °F,  42.1 °F,97%,  29.60 in,  10.0 mi,ENE,  12.7 mph,  26.5 mph,  0.11 in,	 ,Overcast
2017-1-3,5:51 PM,  43.0 °F,  37.2 °F,  42.1 °F,97%,  29.60 in,  3.0 mi,East,  10.4 mph,  19.6 mph,N/A,	 ,Overcast
2017-1-3,6:00 PM,  43.0 °F,  37.2 °F,  42.1 °F,97%,  29.62 in,  2.0 mi,ENE,  10.4 mph,  -,  0.00 in,Rain,Light Rain
2017-1-3,6:51 PM,  43.0 °F,  35.7 °F,  43.0 °F,100%,  29.56 in,  2.5 mi,ENE,  15.0 mph,  -,  0.03 in,	 ,Overcast
2017-1-3,7:31 PM,  43.0 °F,  38.8 °F,  43.0 °F,100%,  29.55 in,  3.0 mi,ENE,  6.9 mph,  -,N/A,	 ,Overcast
2017-1-3,7:51 PM,  43.0 °F,  -,  43.0 °F,100%,  29.52 in,  3.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
2017-1-3,8:18 PM,  42.1 °F,  40.2 °F,  42.1 °F,100%,  29.52 in,  2.5 mi,Variable,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-3,8:51 PM,  43.0 °F,  40.3 °F,  42.1 °F,97%,  29.50 in,  2.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Overcast
2017-1-3,9:17 PM,  42.1 °F,  40.2 °F,  42.1 °F,100%,  29.52 in,  1.8 mi,North,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-3,9:43 PM,  41.0 °F,  39.0 °F,  41.0 °F,100%,  29.52 in,  2.5 mi,Variable,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-3,9:51 PM,  41.0 °F,  -,  41.0 °F,100%,  29.49 in,  2.5 mi,Calm,Calm,  -,N/A,	 ,Overcast
2017-1-3,10:26 PM,  41.0 °F,  38.0 °F,  41.0 °F,100%,  29.52 in,  3.0 mi,WNW,  4.6 mph,  -,  0.00 in,Rain,Light Rain
2017-1-3,10:51 PM,  41.0 °F,  39.0 °F,  41.0 °F,100%,  29.49 in,  4.0 mi,Variable,  3.5 mph,  -,  0.01 in,Rain,Light Rain
2017-1-3,11:35 PM,  41.0 °F,  39.0 °F,  39.9 °F,96%,  29.50 in,  7.0 mi,Variable,  3.5 mph,  -,  0.02 in,Rain,Light Rain
2017-1-3,11:51 PM,  41.0 °F,  39.0 °F,  41.0 °F,100%,  29.49 in,  10.0 mi,Variable,  3.5 mph,  -,  0.03 in,	 ,Overcast
2017-1-4,12:39 AM,  41.0 °F,  37.1 °F,  39.9 °F,96%,  29.48 in,  7.0 mi,WNW,  5.8 mph,  -,N/A,	 ,Overcast
2017-1-4,12:51 AM,  41.0 °F,  39.0 °F,  39.9 °F,96%,  29.46 in,  6.0 mi,WNW,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-4,1:07 AM,  39.9 °F,  37.8 °F,  39.9 °F,100%,  29.49 in,  8.0 mi,West,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-4,1:44 AM,  41.0 °F,  37.1 °F,  39.0 °F,93%,  29.48 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Overcast
2017-1-4,1:51 AM,  41.0 °F,  37.1 °F,  39.0 °F,93%,  29.46 in,  10.0 mi,WNW,  5.8 mph,  -,N/A,	 ,Overcast
2017-1-4,2:27 AM,  41.0 °F,  39.0 °F,  39.0 °F,93%,  29.47 in,  10.0 mi,WNW,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-4,2:51 AM,  41.0 °F,  37.1 °F,  39.9 °F,96%,  29.44 in,  10.0 mi,WNW,  5.8 mph,  -,N/A,	 ,Overcast
2017-1-4,3:38 AM,  42.1 °F,  40.2 °F,  39.9 °F,92%,  29.46 in,  10.0 mi,Variable,  3.5 mph,  -,N/A,	 ,Overcast
2017-1-4,3:51 AM,  42.1 °F,  39.2 °F,  39.0 °F,89%,  29.44 in,  10.0 mi,WSW,  4.6 mph,  -,N/A,	 ,Overcast
2017-1-4,4:46 AM,  42.8 °F,  -,  39.2 °F,87%,  29.47 in,  10.0 mi,North,  -,  -,N/A,	 ,Overcast
2017-1-4,4:51 AM,  42.1 °F,  39.2 °F,  39.0 °F,89%,  29.44 in,  10.0 mi,West,  4.6 mph,  -,N/A,	 ,Overcast
2017-1-4,5:51 AM,  42.1 °F,  37.1 °F,  39.0 °F,89%,  29.46 in,  9.0 mi,WSW,  8.1 mph,  -,N/A,	 ,Overcast
2017-1-4,6:51 AM,  43.0 °F,  37.7 °F,  39.9 °F,89%,  29.47 in,  7.0 mi,WSW,  9.2 mph,  -,N/A,	 ,Overcast
2017-1-4,7:51 AM,  43.0 °F,  40.3 °F,  41.0 °F,93%,  29.48 in,  5.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Overcast
2017-1-4,8:12 AM,  44.1 °F,  -,  41.0 °F,89%,  29.50 in,  5.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
2017-1-4,8:19 AM,  44.1 °F,  -,  41.0 °F,89%,  29.50 in,  5.0 mi,North,  -,  -,N/A,	 ,Overcast
2017-1-4,8:51 AM,  45.0 °F,  42.6 °F,  41.0 °F,86%,  29.49 in,  6.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Scattered Clouds
2017-1-4,8:59 AM,  45.0 °F,  41.2 °F,  41.0 °F,86%,  29.51 in,  6.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Mostly Cloudy
2017-1-4,9:06 AM,  45.0 °F,  39.7 °F,  41.0 °F,86%,  29.52 in,  6.0 mi,WSW,  10.4 mph,  19.6 mph,N/A,	 ,Mostly Cloudy
2017-1-4,9:25 AM,  46.0 °F,  -,  42.1 °F,86%,  29.53 in,  7.0 mi,North,  -,  -,N/A,	 ,Overcast
2017-1-4,9:51 AM,  46.0 °F,  -,  41.0 °F,83%,  29.50 in,  7.0 mi,Calm,Calm,  -,N/A,	 ,Overcast
2017-1-4,10:23 AM,  46.9 °F,  -,  41.0 °F,80%,  29.53 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Scattered Clouds
2017-1-4,10:51 AM,  48.0 °F,  -,  41.0 °F,77%,  29.49 in,  10.0 mi,WSW,  4.6 mph,  -,N/A,	 ,Scattered Clouds
2017-1-4,11:32 AM,  48.0 °F,  -,  41.0 °F,77%,  29.52 in,  10.0 mi,North,  -,  -,N/A,	 ,Overcast
2017-1-4,11:51 AM,  48.0 °F,  -,  41.0 °F,77%,  29.50 in,  10.0 mi,Variable,  6.9 mph,  -,N/A,	 ,Overcast
2017-1-4,12:33 PM,  50.0 °F,  -,  42.1 °F,74%,  29.51 in,  10.0 mi,Variable,  4.6 mph,  -,N/A,	 ,Overcast
2017-1-4,12:51 PM,  50.0 °F,  -,  41.0 °F,71%,  29.49 in,  10.0 mi,North,  -,  -,N/A,	 ,Overcast
2017-1-4,1:51 PM,  51.1 °F,  -,  37.9 °F,61%,  29.48 in,  10.0 mi,West,  11.5 mph,  20.7 mph,N/A,	 ,Mostly Cloudy
2017-1-4,2:51 PM,  52.0 °F,  -,  34.0 °F,50%,  29.48 in,  10.0 mi,North,  -,  -,N/A,	 ,Scattered Clouds
2017-1-4,3:51 PM,  50.0 °F,  -,  26.1 °F,39%,  29.52 in,  10.0 mi,WNW,  11.5 mph,  27.6 mph,N/A,	 ,Clear
2017-1-4,4:51 PM,  46.9 °F,  -,  24.1 °F,41%,  29.53 in,  10.0 mi,WNW,  16.1 mph,  27.6 mph,N/A,	 ,Clear
2017-1-4,5:51 PM,  45.0 °F,  38.9 °F,  23.0 °F,42%,  29.55 in,  10.0 mi,West,  12.7 mph,  28.8 mph,N/A,	 ,Clear
2017-1-4,6:51 PM,  44.1 °F,  36.5 °F,  19.0 °F,37%,  29.58 in,  10.0 mi,West,  17.3 mph,  31.1 mph,N/A,	 ,Clear
2017-1-4,7:51 PM,  41.0 °F,  33.9 °F,  12.9 °F,32%,  29.62 in,  10.0 mi,WNW,  12.7 mph,  29.9 mph,N/A,	 ,Clear
2017-1-4,8:51 PM,  39.0 °F,  -,  10.0 °F,30%,  29.65 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-1-4,9:51 PM,  37.0 °F,  29.8 °F,  12.9 °F,37%,  29.68 in,  10.0 mi,West,  10.4 mph,  17.3 mph,N/A,	 ,Clear
2017-1-4,10:51 PM,  35.1 °F,  30.1 °F,  10.9 °F,37%,  29.71 in,  10.0 mi,Variable,  5.8 mph,  -,N/A,	 ,Clear
2017-1-4,11:51 PM,  34.0 °F,  -,  10.9 °F,38%,  29.73 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-1-5,12:51 AM,  33.1 °F,  26.9 °F,  10.9 °F,40%,  29.75 in,  10.0 mi,West,  6.9 mph,  -,N/A,	 ,Clear
2017-1-5,1:51 AM,  30.9 °F,  26.2 °F,  10.0 °F,42%,  29.78 in,  10.0 mi,Variable,  4.6 mph,  21.9 mph,N/A,	 ,Clear
2017-1-5,2:51 AM,  30.0 °F,  21.7 °F,  10.0 °F,43%,  29.81 in,  10.0 mi,West,  9.2 mph,  17.3 mph,N/A,	 ,Clear
2017-1-5,3:51 AM,  28.9 °F,  -,  10.0 °F,45%,  29.83 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-1-5,4:51 AM,  28.0 °F,  19.3 °F,  9.0 °F,45%,  29.86 in,  10.0 mi,WNW,  9.2 mph,  17.3 mph,N/A,	 ,Clear
2017-1-5,5:51 AM,  28.0 °F,  -,  8.1 °F,43%,  29.89 in,  10.0 mi,North,  -,  -,N/A,	 ,Clear
2017-1-5,6:51 AM,  27.0 °F,  16.7 °F,  7.0 °F,43%,  29.93 in,  10.0 mi,West,  11.5 mph,  24.2 mph,N/A,	 ,Clear
2017-1-5,7:51 AM,  27.0 °F,  16.1 °F,  8.1 °F,45%,  29.94 in,  10.0 mi,WNW,  12.7 mph,  19.6 mph,N/A,	 ,Clear
2017-1-5,8:51 AM,  27.0 °F,  18.0 °F,  7.0 °F,43%,  29.96 in,  10.0 mi,WNW,  9.2 mph,  18.4 mph,N/A,	 ,Clear
2017-1-5,9:51 AM,  28.0 °F,  20.0 °F,  7.0 °F,41%,  30.00 in,  10.0 mi,WSW,  8.1 mph,  23.0 mph,N/A,	 ,Clear
2017-1-5,10:51 AM,  28.9 °F,  19.8 °F,  7.0 °F,40%,  29.97 in,  10.0 mi,WNW,  10.4 mph,  17.3 mph,N/A,	 ,Overcast
2017-1-5,11:51 AM,  28.9 °F,  21.1 °F,  7.0 °F,40%,  29.96 in,  10.0 mi,WSW,  8.1 mph,  19.6 mph,N/A,	 ,Partly Cloudy
2017-1-5,12:51 PM,  30.9 °F,  22.8 °F,  8.1 °F,38%,  29.93 in,  10.0 mi,WNW,  9.2 mph,  -,N/A,	 ,Clear
2017-1-5,1:51 PM,  30.9 °F,  22.8 °F,  8.1 °F,38%,  29.93 in,  10.0 mi,West,  9.2 mph,  -,N/A,	 ,Clear
2017-1-5,2:51 PM,  32.0 °F,  -,  9.0 °F,38%,  29.92 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-1-5,3:51 PM,  32.0 °F,  -,  9.0 °F,38%,  29.93 in,  10.0 mi,Calm,Calm,  -,N/A,	 ,Clear
2017-1-5,4:51 PM,  32.0 °F,  27.5 °F,  9.0 °F,38%,  29.92 in,  10.0 mi,West,  4.6 mph,  -,N/A,	 ,Clear
2017-1-5,5:51 PM,  30.9 °F,  24.3 °F,  10.0 °F,42%,  29.95 in,  10.0 mi,Variable,  6.9 mph,  17.3 mph,N/A,	 ,Scattered Clouds
2017-1-5,6:51 PM,  32.0 °F,  22.5 °F,  10.9 °F,42%,  29.95 in,  10.0 mi,West,  12.7 mph,  17.3 mph,N/A,	 ,Overcast
2017-1-5,7:51 PM,  32.0 °F,  24.2 °F,  12.0 °F,44%,  29.97 in,  10.0 mi,West,  9.2 mph,  17.3 mph,N/A,	 ,Mostly Cloudy
2017-1-5,8:51 PM,  32.0 °F,  24.8 °F,  12.0 °F,44%,  29.97 in,  10.0 mi,West,  8.1 mph,  -,N/A,	 ,Overcast
2017-1-5,9:51 PM,  32.0 °F,  26.4 °F,  12.0 °F,44%,  29.96 in,  10.0 mi,WSW,  5.8 mph,  17.3 mph,N/A,	 ,Overcast
2017-1-5,10:51 PM,  30.9 °F,  -,  14.0 °F,50%,  29.95 in,  10.0 mi,North,  -,  -,N/A,	 ,Mostly Cloudy
2017-1-5,11:51 PM,  30.9 °F,  23.5 °F,  15.1 °F,52%,  29.95 in,  10.0 mi,West,  8.1 mph,  -,N/A,	 ,Overcast
