neighborhood,alone_hhld,bachelor_higher,bornstate,carfree,commutetime,disabled,disconnected,foreign,gross_rent_adj,hhu18,homeownership,housing_units,income_diversity_ratio,laborforcerate,medhhincome_adj,medhhincome_own_adj,medhhincome_rent_adj,nohsdiploma,park_share,pasian,pblack,phisp,pop65,population,population_density,pov65older,povrate,povunder18,prof_pct_ela,prof_pct_math,prop_rt,pwhite,rdindex,rent_pct_nycha,rentvacrate,serious_viol_rate,sevcrowd,subway_share,tot_rt,total_viol_rate,unemprate,viol_rt,volume_al
south-beach-willowbrook,0.236386243,0.34288548,0.650884011,0.335924819,42.23263563,0.075229735,0.018916734,0.276735637,1310,0.370669308,0.739378741,51861,4.5,0.562714134,82150,102070,35860,0.109786279,0.497611811,0.12182894,0.021895459,0.147512516,0.164366488,142815,7.204146489,0.127215421,0.119828471,0.144031856,0.505358615,0.483686786,4.636258267,0.679053321,0.501804944,0.10962836,0.053821239,6.663743972,0.018572469,0.321432931,6.310462641,37.00131521,0.052943085,1.674204374,1383
south-crown-heights-lefferts-gardens,0.32957132,0.34111886,0.430876411,0.808875088,41.02163678,0.055822673,0.071655041,0.411298944,1300,0.266881639,0.167109256,46293,4.8,0.655349491,50800,71540,47060,0.125589683,0.701026928,0.026607599,0.646889892,0.087804171,0.13640811,110382,64.6264637,0.176945364,0.182501772,0.23041887,0.35,0.285714286,6.959331091,0.221739052,0.523947725,0.008238046,0.039148843,90.69439433,0.046609442,0.962053915,13.10589359,441.2372487,0.079154486,6.146562497,152
south-ozone-park-howard-beach,0.189378388,0.22586495,0.483259736,0.462142135,49.2647356,0.125894472,0.047891876,0.445828595,1440,0.390231065,0.693220696,41453,4.442307692,0.620489352,72480,90310,43680,0.22615642,0.509011109,0.250749509,0.122469023,0.260437743,0.13315414,135422,22.07367563,0.134372227,0.138567428,0.16556244,0.499629355,0.528122717,6.838458773,0.205358066,0.812126269,0.012249356,0.022219184,26.3915547,0.027828276,0.500025542,10.4578581,110.4446577,0.088548437,3.619399327,663
st.-george-stapleton,0.261103497,0.2949631,0.634955386,0.434661105,43.78373306,0.081823871,0.073640253,0.269350589,1220,0.371520904,0.567534643,65652,6.470588235,0.563477586,65580,91590,28010,0.166902331,0.560117891,0.089937866,0.233270265,0.303841823,0.128584739,174943,12.45411832,0.150879131,0.209688842,0.332294326,0.336428181,0.340712743,5.092287034,0.351777436,0.721428946,0.11995498,0.089951599,50.76861737,0.034757856,0.225000386,9.359566672,253.0013733,0.04691443,4.267279638,1241
stuyvesant-town-turtle-bay,0.571641555,0.80019234,0.41157677,0.913569682,26.30562347,0.044648167,0.055265123,0.220569275,2530,0.122173259,0.322730031,94974,5.222222222,0.716577161,110400,125900,101740,0.040741673,0.829743248,0.158527082,0.024298324,0.072618693,0.177193579,141162,86.02193784,0.065006197,0.07110356,0.01811925,0.766323024,0.737541528,8.967039126,0.720788881,0.44946867,0.009126321,0.046181545,8.167574175,0.021643118,0.985220834,10.80247995,45.30132978,0.033180363,1.835440821,528
sunset-park,0.194533938,0.27627252,0.38879109,0.813865916,44.22890556,0.068274247,0.053314789,0.471301682,1400,0.395686764,0.263396673,48750,5.499199146,0.67044094,53270,88420,46770,0.427686864,0.762163522,0.330209707,0.031258576,0.393918299,0.099572286,149399,35.92185622,0.245292031,0.257567885,0.375687537,0.416879795,0.486587648,5.212706964,0.228087203,0.682789052,0,0.031599921,53.36357889,0.089720926,0.998825918,8.682563574,238.0722175,0.053102199,3.469856611,298
throgs-neck-co-op-city,0.339236166,0.25506496,0.656316465,0.465737592,41.39350092,0.111793462,0.056142115,0.20654037,1200,0.26975569,0.496131201,45659,5.709677419,0.577422743,59400,75590,42420,0.151849271,0.468776545,0.016521435,0.289739839,0.392915795,0.209744147,111431,11.87204347,0.123400705,0.146938019,0.25615808,0.43203372,0.393528184,6.304405608,0.287415531,0.678787358,0.1359182,0.019187317,30.13800359,0.010801012,0.308104113,8.920858529,154.8981991,0.083714696,2.616452921,416
tottenville-great-kills,0.191065923,0.34028776,0.800059397,0.242895569,46.39691433,0.06339862,0.051933702,0.15930417,1240,0.356670246,0.81813143,61878,3.589997524,0.608647959,90030,99980,46840,0.065218534,0.559744264,0.044490923,0.008543066,0.084324864,0.171632219,158257,6.459469388,0.10519907,0.058897696,0.055684092,0.603042877,0.583160801,2.315725084,0.848632288,0.270660131,0,0.038363821,3.487611713,0.024218406,0.478899264,3.077230368,23.25074475,0.052303956,0.761505284,1636
upper-east-side,0.465064974,0.80853722,0.477333747,0.829521419,32.54396938,0.041147183,0.020695145,0.236639513,2250,0.178374452,0.374792614,133836,6.086956522,0.719097248,116970,184050,101250,0.03111998,0.65935078,0.10555515,0.022816935,0.120787748,0.180905372,219004,108.5252726,0.117054469,0.065259073,0.02266688,0.760526316,0.745806452,7.507275373,0.727402239,0.4446338,0.030676179,0.046571411,14.20691961,0.018507127,0.879426442,8.562204438,69.43283748,0.033834368,1.054929065,734
upper-west-side,0.486724412,0.76949401,0.394264666,0.878237992,32.20822978,0.050530246,0.045412633,0.236205222,2160,0.139365885,0.351926906,121595,9.666666667,0.691499471,111270,176250,87190,0.03898483,0.968856926,0.104452958,0.053785912,0.130559602,0.219339075,189492,64.21280922,0.107077772,0.103973358,0.072338974,0.702453988,0.691607685,6.791528764,0.695696916,0.485156647,0.090372376,0.047561979,18.52091698,0.020693419,1,8.604197356,99.29089496,0.051767232,1.812668593,564
washington-heights-inwood,0.290794759,0.34288929,0.352426505,0.85080982,40.880134,0.099303404,0.072774597,0.487566961,1300,0.295428887,0.096200803,81198,5.555555556,0.666744925,52030,100980,50480,0.272426276,0.954004801,0.028673265,0.087925481,0.672967302,0.134491265,238759,80.03989273,0.263907025,0.222230723,0.322828858,0.287109375,0.282732448,5.804652142,0.19007451,0.502433645,0.035508495,0.01475566,103.6839332,0.051667212,1,10.27786549,492.7154344,0.090337661,4.473213346,111
williamsbridge-baychester,0.260975169,0.23599021,0.487593818,0.572886117,46.40771154,0.134662646,0.07716234,0.400574686,1250,0.355501134,0.383343036,52431,5.555555556,0.626373261,51380,75800,37610,0.193461287,0.557978097,0.044846739,0.704395087,0.184377302,0.134964928,150691,22.34776806,0.111820439,0.175810098,0.276824166,0.262984336,0.237121832,7.529013286,0.048689039,0.46545072,0.11062939,0.047155142,102.4218465,0.037766011,0.915792168,14.53289923,464.6689479,0.092382862,7.003885942,572
woodside-sunnyside,0.358559449,0.397895,0.335177179,0.807307641,36.56767569,0.031401888,0.037364581,0.556409142,1570,0.213192371,0.27565553,60726,4.066666667,0.708100738,62280,66010,61250,0.177812568,0.71711759,0.350976305,0.017316432,0.335000405,0.130156813,135767,22.73392498,0.103214306,0.1008795,0.143320269,0.514198783,0.550695825,6.713780919,0.271104171,0.690793032,0,0.026789161,12.90136108,0.053307949,0.985040905,8.851590106,69.0787745,0.035190971,2.137809187,303
